"SYMBOL","logFC","AveExpr","t","p_value","adj_p_value","B","threshold"
"FST",0.00971200293487051,4.94765010782203,0.0909179492723986,0.927855005670727,0.997774674683444,-5.46111083724724,"Not_significant"
"FMR1",0.0122037729703983,10.9570876212288,0.090863299179131,0.927898250294718,0.997774674683444,-5.46111499793958,"Not_significant"
"ZBTB22",-0.00558615282236818,7.91253372069492,-0.0907707044555661,0.927971521006294,0.997774674683444,-5.46112204177369,"Not_significant"
"PSMD4",0.0097245305243483,10.3611332960636,0.0905842228248067,0.928119086840141,0.997774674683444,-5.46113620595099,"Not_significant"
"H2BC4",0.0138291824657895,8.17871823561017,0.0905420434989237,0.928152464352509,0.997774674683444,-5.46113940563564,"Not_significant"
"RTN2",-0.0104021830460503,6.9413861924322,-0.0904061308672992,0.928260016159066,0.997774674683444,-5.4611497057079,"Not_significant"
"ANAPC2",0.00699235137105525,7.36642989777966,0.0901429379739862,0.928468292531422,0.997774674683444,-5.46116960767282,"Not_significant"
"SPINT2",0.00610565923420658,9.78957296030508,0.0901423998317167,0.92846871839275,0.997774674683444,-5.46116964830632,"Not_significant"
"KRT3",-0.00552748697499972,6.50127539220339,-0.0899451716200488,0.928624797245982,0.997774674683444,-5.46118452408372,"Not_significant"
"MID1IP1",-0.00738747302631815,11.1872503742373,-0.089901705312386,0.928659195195785,0.997774674683444,-5.46118779811424,"Not_significant"
"FLRT3",0.00746484123684255,4.75297931457627,0.089783716652574,0.928752568618572,0.997774674683444,-5.46119667744648,"Not_significant"
"CCL5",0.0109807143815779,11.6037871594915,0.0897804214112545,0.928755176408715,0.997774674683444,-5.46119692526521,"Not_significant"
"SPRY4",0.00578053663289335,4.48217285572881,0.0896687287433201,0.928843568285832,0.997774674683444,-5.46120531973832,"Not_significant"
"TCEA1",0.0066538209868412,11.641225010339,0.0895807790683319,0.928913170952929,0.997774674683444,-5.46121192241046,"Not_significant"
"RBL2",0.00592928917105873,11.3018809741441,0.0894051479347364,0.929052165689857,0.997774674683444,-5.46122508823637,"Not_significant"
"MNX1",0.00463201937631741,5.49785444159322,0.0892369731440796,0.929185261544817,0.997774674683444,-5.46123767090436,"Not_significant"
"PDGFC",0.0160151701842164,8.53775449081356,0.0891744821052588,0.929234718334574,0.997774674683444,-5.46124234038551,"Not_significant"
"DOK3",0.0102712404473708,7.54110306589831,0.0891042386719836,0.929290310875041,0.997774674683444,-5.4612475852405,"Not_significant"
"WDR59",-0.0072891118850853,7.89476704659887,-0.0888697153473195,0.929475921495117,0.997774674683444,-5.46126506642932,"Not_significant"
"RAB40B",0.00617018200394881,7.26508670766102,0.0887555253896259,0.92956629716577,0.997774674683444,-5.46127356138903,"Not_significant"
"C5orf22",0.010281398438158,9.46654081935593,0.0885963592394541,0.92969227080794,0.997774674683444,-5.46128538405592,"Not_significant"
"CEP76",0.0109193354125026,6.91768326726271,0.0885750241465395,0.929709156817986,0.997774674683444,-5.46128696718812,"Not_significant"
"MOG",0.00424456353903713,3.17880916658192,0.0884410389060883,0.9298152023803,0.997774674683444,-5.46129690060862,"Not_significant"
"ARHGEF10",-0.0125805433947379,5.4400750804322,-0.0881742925206247,0.930026328467745,0.997774674683444,-5.46131663194142,"Not_significant"
"FANCA",0.00588003037368434,7.03994316512994,0.0881405008984496,0.930053074431381,0.997774674683444,-5.46131912726858,"Not_significant"
"LASP1",0.00435019056578589,11.8994824154237,0.0880097260519695,0.930156583077388,0.997774674683444,-5.46132877526751,"Not_significant"
"INAVA",0.0111755147776336,4.54898964113559,0.0879705285619489,0.930187608233052,0.997774674683444,-5.46133166429814,"Not_significant"
"CDH9",0.00490341755131629,2.35964757035593,0.0879417777608665,0.93021036481231,0.997774674683444,-5.46133378254304,"Not_significant"
"DYNC2H1",0.0109520288828939,5.80493392416949,0.0877325650160099,0.930375960789506,0.997774674683444,-5.46134917566269,"Not_significant"
"C3orf52",0.0102642265631614,5.00973509640678,0.0875671145092082,0.930506920287431,0.997774674683444,-5.4613613229602,"Not_significant"
"CNPPD1",0.00991163575921128,9.75619235187288,0.0875208831331828,0.93054351428137,0.997774674683444,-5.46136471314831,"Not_significant"
"VEGFB",-0.00703266526315893,6.61908368761017,-0.0874220875930336,0.930621715430036,0.997774674683444,-5.46137195191439,"Not_significant"
"PTBP3",0.0111476777153499,9.11572378546328,0.0871658081610041,0.93082457541593,0.997774674683444,-5.46139069145103,"Not_significant"
"PPBPP2",-0.00521348663684229,3.60107944452542,-0.087035909245023,0.930927399676881,0.997774674683444,-5.46140016885091,"Not_significant"
"DDX28",0.00501957066710457,6.97770018891525,0.0869863225536482,0.930966651393028,0.997774674683444,-5.46140378295986,"Not_significant"
"RPL3",0.00686180807632297,13.3953215827458,0.0869362651177853,0.931006275914498,0.997774674683444,-5.46140742929042,"Not_significant"
"UBA2",0.00834733460526493,9.78015364579661,0.0868548738723691,0.931070704062294,0.997774674683444,-5.46141335358803,"Not_significant"
"RBM12B",-0.011744298344734,9.25343192072881,-0.0867863853259455,0.931124918976409,0.997774674683444,-5.46141833442732,"Not_significant"
"IFT70A",-0.0132192414644718,4.46911552518644,-0.0865440665064144,0.93131673899033,0.997774674683444,-5.46143592556353,"Not_significant"
"DOCK4",0.0177662910355245,8.30515525886441,0.0861832815398905,0.931602344590582,0.997774674683444,-5.46146202564431,"Not_significant"
"KCMF1",0.00441012922369133,11.6318261686441,0.0861617844645925,0.931619362450474,0.997774674683444,-5.46146357735525,"Not_significant"
"CKS1B",-0.011472921665785,8.20816571433898,-0.0861594292290982,0.931621226941757,0.997774674683444,-5.46146374733833,"Not_significant"
"EFR3A",0.0105891176651358,10.6997139952712,0.0860538819363197,0.931704782466079,0.997774674683444,-5.46147136017477,"Not_significant"
"FNBP1L",-0.0118577578868404,7.46332742184746,-0.0859433065794909,0.93179231923735,0.997774674683444,-5.4614793256655,"Not_significant"
"APOM",-0.00820322789934114,7.24122415879661,-0.085782388220611,0.931919711460652,0.997774674683444,-5.46149089941054,"Not_significant"
"RABL6",-0.0111901416052635,6.43141938942373,-0.0857670110663555,0.931931884993516,0.997774674683444,-5.46149200424786,"Not_significant"
"EDF1",0.011146528348684,12.2641288388983,0.0857138379077378,0.931973980371933,0.997774674683444,-5.4614958231743,"Not_significant"
"LGI2",-0.0049309974802636,4.8367091339661,-0.0857089922398367,0.931977816531846,0.997774674683444,-5.4614961710752,"Not_significant"
"ITM2A",-0.0074387394842077,10.3288492894746,-0.0857047245045822,0.931981195162353,0.997774674683444,-5.46149647746641,"Not_significant"
"IL37",0.00638175717631517,2.96947689850847,0.0856808881228494,0.932000065692097,0.997774674683444,-5.46149818845838,"Not_significant"
"DGKQ",0.0054447206894741,5.32912811027119,0.0855468303564051,0.932106195828782,0.997774674683444,-5.46150780235482,"Not_significant"
"ERLIN2",0.00814418317894905,7.91256243904237,0.0855420777088347,0.932109958402145,0.997774674683444,-5.46150814291272,"Not_significant"
"B3GALT4",0.00585242096579552,7.65041900521186,0.0855332986326009,0.932116908620384,0.997774674683444,-5.4615087719405,"Not_significant"
"PGAP1",-0.0114004938907915,6.58626424291525,-0.0854987791991406,0.932144237013606,0.997774674683444,-5.46151124465947,"Not_significant"
"SPART",-0.00783379412565566,7.7744886183983,-0.085457320868287,0.932177058911126,0.997774674683444,-5.46151421311126,"Not_significant"
"ARR3",0.00463892485526429,5.13022656869492,0.0854393135192867,0.932191315078164,0.997774674683444,-5.46151550200443,"Not_significant"
"WRAP53",0.00737547305526398,8.00672518511017,0.0852735390027109,0.932322557497244,0.997774674683444,-5.46152735471685,"Not_significant"
"RFPL3",-0.00624565586710801,6.70269671988136,-0.084959422025591,0.932571246677738,0.997774674683444,-5.46154975064998,"Not_significant"
"TAGLN3",-0.00507834812763086,4.83914241416949,-0.0848481282228143,0.932659360582181,0.997774674683444,-5.46155766585886,"Not_significant"
"PRKCZ",-0.00913565233947544,8.56026346218644,-0.0847292634465217,0.932753469537072,0.997774674683444,-5.46156610805996,"Not_significant"
"TAF6L",-0.00549050879934132,5.31818577863983,-0.0846303792045892,0.932831760013026,0.997774674683444,-5.46157312215644,"Not_significant"
"TRBV16",0.0150274541671047,4.95121428767797,0.0845751706389177,0.932875471057827,0.997774674683444,-5.46157703467036,"Not_significant"
"CHST10",-0.00741076267631335,6.89155979464407,-0.0845748275256883,0.93287574271628,0.997774674683444,-5.46157705897809,"Not_significant"
"EEF1B2",0.0113404263421018,12.6604255877966,0.0845001765801346,0.932934847478206,0.997774674683444,-5.46158234525172,"Not_significant"
"TOP3A",0.00612695242895178,7.45956204714124,0.0844622073978472,0.932964909660489,0.997774674683444,-5.46158503218122,"Not_significant"
"ETV1",0.00481319515395029,4.33011027437627,0.0844297597519007,0.932990600232059,0.997774674683444,-5.46158732741665,"Not_significant"
"MAGEA2",0.00548418081973701,4.78539176579661,0.0844249815463375,0.932994383404134,0.997774674683444,-5.46158766533608,"Not_significant"
"SHARPIN",-0.0159669556355198,9.43585982354237,-0.0844039512493517,0.933011034282654,0.997774674683444,-5.46158915239225,"Not_significant"
"LAMB3",0.00608598342763145,5.09924872240678,0.0843198541836497,0.933077618997916,0.997774674683444,-5.46159509520946,"Not_significant"
"CLDN6",-0.00586632976973789,5.96172107316949,-0.0842581561123111,0.933126469384574,0.997774674683444,-5.46159945140917,"Not_significant"
"TP53TG3",-0.0231673310263147,7.63865473742373,-0.0842472223891758,0.933135126353137,0.997774674683444,-5.46160022305349,"Not_significant"
"STK24",0.00485605666315259,10.4140689295424,0.0842180720545146,0.933158206685484,0.997774674683444,-5.46160227984059,"Not_significant"
"LARS2",-0.00681442619671291,7.60861333722034,-0.084210768325193,0.933163989561223,0.997774674683444,-5.46160279506509,"Not_significant"
"FRS3",0.00628429433947542,6.62332151574576,0.0841987933052376,0.933173471033832,0.997774674683444,-5.46160363971819,"Not_significant"
"MCAT",0.00757136592237018,6.98192147949153,0.0841839808111871,0.933185199149366,0.997774674683444,-5.46160468434521,"Not_significant"
"BICDL1",0.00556138469079137,5.67275863898305,0.0839901379708873,0.93333867981882,0.997774674683444,-5.46161833786046,"Not_significant"
"GMDS",0.00671031989210746,6.39293191507627,0.0838378735484171,0.933459241355718,0.997774674683444,-5.46162904069189,"Not_significant"
"KCNK12",-0.00540034384605192,4.44281022835593,-0.0838285429711752,0.933466629269863,0.997774674683444,-5.46162969591696,"Not_significant"
"ALOX12P2",-0.00690882688026129,4.61817381067797,-0.083794983247466,0.933493201774864,0.997774674683444,-5.46163205199292,"Not_significant"
"CORO7",-0.00991761963157778,7.42730610971186,-0.0836713501975545,0.933591094768428,0.997774674683444,-5.46164072357113,"Not_significant"
"POSTN",-0.00467498127565724,2.6060288604322,-0.0836601866538281,0.933599934144151,0.997774674683444,-5.46164150594804,"Not_significant"
"KIF14",0.00879622571973737,3.6743580179661,0.0834196969155554,0.933790357716297,0.997774674683444,-5.46165833489856,"Not_significant"
"RASGRP1",-0.00616840851315636,11.6885545933898,-0.0831716039572943,0.933986805706293,0.997774674683444,-5.46167564515164,"Not_significant"
"PPY",0.00597285694473815,4.29416294464407,0.0830298641240183,0.934099041718456,0.997774674683444,-5.46168551166491,"Not_significant"
"GPC1",0.00444777321052747,5.88591685525424,0.0828361224711582,0.934252457294808,0.997774674683444,-5.4616989708108,"Not_significant"
"MMP27",-0.00530852092368495,2.97914171423729,-0.0828129980584762,0.934270768677273,0.997774674683444,-5.46170057515356,"Not_significant"
"MAST2",0.00559274175954272,6.42629966576271,0.0828095212907105,0.934273521806463,0.997774674683444,-5.46170081632863,"Not_significant"
"PCBP2",0.0036203739970464,10.9271193052797,0.0827364121667314,0.934331414517546,0.997774674683444,-5.46170588538921,"Not_significant"
"PIK3R3",0.00699147632302299,6.30274403723729,0.0825352412515028,0.934490716985726,0.997774674683444,-5.46171981057949,"Not_significant"
"AGTR2",0.00300829713070261,2.96217572886441,0.0824228502095834,0.934579717952326,0.997774674683444,-5.46172757560902,"Not_significant"
"CSAD",-0.0114401123184216,8.47443835101695,-0.0823177240830113,0.934662966687787,0.997774674683444,-5.46173482913513,"Not_significant"
"NAA10",0.00938164037236966,10.9766565652034,0.0822354751988026,0.934728099585722,0.997774674683444,-5.46174049771689,"Not_significant"
"RAPGEF4",0.0073029084960532,2.45101508398305,0.0821759094535136,0.934775269983693,0.997774674683444,-5.46174459944278,"Not_significant"
"GAS8",-0.00552865447762851,6.56311139272881,-0.0821233467449369,0.934816894838362,0.997774674683444,-5.46174821646834,"Not_significant"
"SUB1",0.0143693788039467,9.96072302181921,0.0820837891663974,0.934848220940692,0.997774674683444,-5.46175093703914,"Not_significant"
"OR7A5",0.0052660997263172,2.56860883157627,0.081707855148091,0.935145932574406,0.997774674683444,-5.46177672648205,"Not_significant"
"PLA2G5",-0.00396045062236894,4.20331358367797,-0.0816272514613379,0.935209765878897,0.997774674683444,-5.46178224056569,"Not_significant"
"PQBP1",0.00953643127236958,9.48336318551977,0.0816111626029867,0.935222507344645,0.997774674683444,-5.46178334055019,"Not_significant"
"PPM1G",0.00534252999342577,10.2127363808644,0.0814908320656757,0.935317802862565,0.997774674683444,-5.4617915605951,"Not_significant"
"SYNGR3",0.0143586341605282,5.97587539601695,0.0814693505414586,0.935334815210779,0.997774674683444,-5.46179302676991,"Not_significant"
"AP1B1",-0.00774316066052272,8.68708028476271,-0.0813287632706408,0.935446154407192,0.997774674683444,-5.4618026127084,"Not_significant"
"KMT2A",0.00692084046162655,8.86189052591243,0.0813117481423954,0.935459629759829,0.997774674683444,-5.4618037717615,"Not_significant"
"FGA",0.00335668940131617,2.67805982560169,0.0810410222582492,0.935674037199469,0.997774674683444,-5.46182218071309,"Not_significant"
"PYGO1",-0.00556455277039358,3.26836256800847,-0.0810281336846511,0.935684244713917,0.997774674683444,-5.46182305558604,"Not_significant"
"NPPC",0.00657751990131672,4.360859595,0.0810197953474126,0.935690848530201,0.997774674683444,-5.46182362151604,"Not_significant"
"NDUFV1",0.00998083937237482,10.6451542038136,0.0810046178289904,0.935702868869207,0.997774674683444,-5.46182465147761,"Not_significant"
"FAM174B",-0.00826208246973259,7.59975693105085,-0.0809807762595833,0.935721751021018,0.997774674683444,-5.46182626900081,"Not_significant"
"ZMYM6",0.00622155009210434,7.96110381572034,0.0808992959744578,0.935786282417971,0.997774674683444,-5.46183179340976,"Not_significant"
"PIK3R2",-0.00909520789999974,7.16312332635593,-0.0806591262844354,0.93597649641106,0.997774674683444,-5.46184804470233,"Not_significant"
"CYP2F1",0.00528599815263231,3.89619260050847,0.0805407910151283,0.936070219124345,0.997774674683444,-5.46185603419805,"Not_significant"
"LCN2",0.0192903299578973,10.4629307936441,0.080499145043226,0.936103203365391,0.997774674683444,-5.4618588431677,"Not_significant"
"VPS51",0.0138118189447365,10.7155969881525,0.0804677578531715,0.936128062569969,0.997774674683444,-5.46186095923528,"Not_significant"
"XRCC3",-0.00573468621184148,6.59036360688136,-0.0802147272142544,0.936328469598726,0.997774674683444,-5.46187798796879,"Not_significant"
"LPAL2",0.00602187754605144,6.21424828542373,0.0801079776114877,0.936413019377814,0.997774674683444,-5.46188515603879,"Not_significant"
"H1-4",-0.00760499845920837,5.69780208552542,-0.0800981137069434,0.936420832005579,0.997774674683444,-5.46188581790301,"Not_significant"
"ISOC1",0.00989028662236802,7.92343251311864,0.0800255475549435,0.936478307646477,0.997774674683444,-5.46189068455932,"Not_significant"
"SULT4A1",0.00590452498684169,5.27128944705085,0.0799147095874083,0.936566096933168,0.997774674683444,-5.46189810940682,"Not_significant"
"NSL1",0.0049016826565822,9.44866561755085,0.0798605609393582,0.936608985693657,0.997774674683444,-5.46190173299208,"Not_significant"
